Series_Title,genre
God's Own Country,"drama, romance"
Deadpool 2,"action, adventure, comedy"
Wind River,"crime, drama, Mystery"
Get Out,"horror, Mystery, thriller"
Mission: Impossible - Fallout,"action, adventure, thriller"
En man som heter Ove,"comedy, drama, romance"
What We Do in the Shadows,"comedy, horror"
Omoide no MÃ¢nÃ®,"animation, drama, family"
The Theory of Everything,"biography, drama, romance"
Kingsman: The Secret Service,"action, adventure, comedy"
The Fault in Our Stars,"drama, romance"
Me and Earl and the Dying Girl,"comedy, drama"
Birdman or (The Unexpected Virtue of Ignorance),"comedy, drama"
La vie d'AdÃ¨le,"drama, romance"
Kai po che!,"drama, Sport"
The Broken Circle Breakdown,"drama, music, romance"
Captain America: The Winter Soldier,"action, adventure, sci-fi"
Rockstar,"drama, music, musical"
Nebraska,"adventure, comedy, drama"
Wreck-It Ralph,"animation, adventure, comedy"
Le Petit Prince,"animation, adventure, drama"
Detachment,drama
Midnight in Paris,"comedy, fantasy, romance"
The Lego Movie,"animation, action, adventure"
Gravity,"drama, sci-fi, thriller"
Star Trek Into Darkness,"action, adventure, sci-fi"
Beasts of No Nation,"drama, war"
The Social Network,"biography, drama"
X: First Class,"action, adventure, sci-fi"
The Hangover,comedy
Skyfall,"action, adventure, thriller"
Silver Linings Playbook,"comedy, drama, romance"
Argo,"biography, drama, thriller"
(500) Days of Summer,"comedy, drama, romance"
Harry Potter and the Deathly Hallows: Part 1,"adventure, family, fantasy"
Gake no ue no Ponyo,"animation, adventure, comedy"
Frost/Nixon,"biography, drama, history"
Papurika,"animation, drama, fantasy"
Changeling,"biography, crime, drama"
Flipped,"comedy, drama, romance"
Toki o kakeru shÃ´jo,"animation, adventure, comedy"
Death Note: Desu nÃ´to,"crime, drama, fantasy"
This Is England,"crime, drama"
Ex Machina,"drama, sci-fi, thriller"
Efter brylluppet,drama
The Last King of Scotland,"biography, drama, history"
Zodiac,"crime, drama, Mystery"
Lucky Number Slevin,"action, crime, drama"
Joyeux NoÃ«l,"drama, history, music"
Control,"biography, drama, music"
Tangled,"animation, adventure, comedy"
Zwartboek,"drama, thriller, war"
Brokeback Mountain,"drama, romance"
3:10 to Yuma,"action, crime, drama"
Crash,"crime, drama, thriller"
Kung fu,"action, comedy, fantasy"
The Bourne Supremacy,"action, Mystery, thriller"
The Machinist,"drama, thriller"
Ray,"biography, drama, music"
Lost in Translation,"comedy, drama"
Harry Potter and the Goblet of Fire,"adventure, family, fantasy"
Man on Fire,"action, crime, drama"
Coraline,"animation, drama, family"
The Last Samurai,"action, drama"
The Magdalene Sisters,drama
Good Bye Lenin!,"comedy, drama, romance"
In America,drama
I Am Sam,drama
Adaptation.,"comedy, drama"
Black Hawk Down,"drama, history, war"
Road to Perdition,"crime, drama, thriller"
Das Experiment,"drama, thriller"
Billy Elliot,"drama, music"
Hedwig and the Angry Inch,"comedy, drama, music"
Ocean's Eleven,"crime, thriller"
Vampire Hunter D: Bloodlust,"animation, action, fantasy"
"O Brother, Where Art Thou?","adventure, comedy, crime"
Interstate 60: Episodes of the Road,"adventure, comedy, drama"
"South Park: Bigger, Longer & Uncut","animation, comedy, fantasy"
Office Space,comedy
Happiness,"comedy, drama"
Training Day,"crime, drama, thriller"
Rushmore,"comedy, drama, romance"
Abre los ojos,"drama, Mystery, sci-fi"
Being John Malkovich,"comedy, drama, fantasy"
As Good as It Gets,"comedy, drama, romance"
The Fifth Element,"action, adventure, sci-fi"
Le dÃ®ner de cons,comedy
Donnie Brasco,"biography, crime, drama"
Shine,"biography, drama, music"
Primal Fear,"crime, drama, Mystery"
Hamlet,drama
A Little Princess,"drama, family, fantasy"
Do lok tin si,"comedy, crime, drama"
Il postino,"biography, comedy, drama"
Clerks,comedy
Short Cuts,"comedy, drama"
Philadelphia,drama
The Muppet Christmas Carol,"comedy, drama, family"
Malcolm X,"biography, drama, history"
The Last of the Mohicans,"action, adventure, drama"
Kurenai no buta,"animation, adventure, comedy"
Glengarry Glen Ross,"crime, drama, Mystery"
A Few Good Men,"drama, thriller"
Fried Green Tomatoes,drama
Barton Fink,"comedy, drama, thriller"
Miller's Crossing,"crime, drama, thriller"
Who Framed Roger Rabbit,"animation, adventure, comedy"
Spoorloos,"Mystery, thriller"
Withnail & I,"comedy, drama"
The Last Emperor,"biography, drama, history"
Empire of the Sun,"action, drama, history"
Der Name der Rose,"crime, drama, Mystery"
Blue Velvet,"drama, Mystery, thriller"
The Purple Rose of Cairo,"comedy, fantasy, romance"
After Hours,"comedy, crime, drama"
Zelig,comedy
The Verdict,drama
Star Trek II: The Wrath of Khan,"action, adventure, sci-fi"
First Blood,"action, adventure"
Ordinary People,drama
Airplane!,comedy
Rupan sansei: Kariosutoro no shiro,"animation, adventure, family"
Halloween,"horror, thriller"
Le locataire,"drama, thriller"
Love and Death,"comedy, war"
The Taking of Pelham One Two Three,"action, crime, thriller"
Blazing Saddles,"comedy, western"
Serpico,"biography, crime, drama"
Enter the Dragon,"action, crime, drama"
Deliverance,"adventure, drama, thriller"
The French Connection,"action, crime, drama"
Dirty Harry,"action, crime, thriller"
Where Eagles Dare,"action, adventure, war"
The Odd Couple,comedy
The Dirty Dozen,"action, adventure, war"
Belle de jour,"drama, romance"
A Man for All Seasons,"biography, drama, history"
Repulsion,"drama, horror, thriller"
Zulu,"drama, history, war"
Goldfinger,"action, adventure, thriller"
The Birds,"drama, horror, Mystery"
Cape Fear,"drama, thriller"
Peeping Tom,"drama, horror, thriller"
The Magnificent Seven,"action, adventure, western"
Les yeux sans visage,"drama, horror"
Invasion of the Body Snatchers,"drama, horror, sci-fi"
Rebel Without a Cause,drama
The Ladykillers,"comedy, crime"
Sabrina,"comedy, drama, romance"
The Quiet Man,"comedy, drama, romance"
The Day the Earth Stood Still,"drama, sci-fi"
The African Queen,"adventure, drama, romance"
Gilda,"drama, film-noir, romance"
Fantasia,"animation, family, fantasy"
The Invisible Man,"horror, sci-fi"
Dark Waters,"biography, drama, history"
Searching,"drama, Mystery, thriller"
Once Upon a Time... in Hollywood,"comedy, drama"
Nelyubov,drama
The Florida Project,drama
Just Mercy,"biography, crime, drama"
Gifted,drama
The Peanut Butter Falcon,"adventure, comedy, drama"
Victoria,"crime, drama, romance"
Mustang,drama
Guardians of the Galaxy Vol. 2,"action, adventure, comedy"
Baby Driver,"action, crime, drama"
Only the Brave,"action, biography, drama"
Bridge of Spies,"drama, history, thriller"
Incredibles 2,"animation, action, adventure"
Moana,"animation, adventure, comedy"
Sicario,"action, crime, drama"
Creed,"drama, Sport"
Leviafan,"crime, drama"
Hell or High Water,"action, crime, drama"
Philomena,"biography, comedy, drama"
Dawn of the Planet of the Apes,"action, adventure, drama"
El cuerpo,"Mystery, thriller"
Serbuan maut,"action, thriller"
End of Watch,"action, crime, drama"
Kari-gurashi no Arietti,"animation, adventure, family"
A Star Is Born,"drama, music, romance"
True Grit,"drama, western"
HÃ¦vnen,"drama, romance"
Despicable Me,"animation, comedy, crime"
50/50,"comedy, drama, romance"
Kick-Ass,"action, comedy, crime"
Celda 211,"action, adventure, crime"
Moneyball,"biography, drama, Sport"
La piel que habito,"drama, horror, thriller"
Zombieland,"adventure, comedy, fantasy"
Die Welle,"drama, thriller"
Sherlock Holmes,"action, adventure, Mystery"
The Blind Side,"biography, drama, Sport"
The Visitor,drama
Seven Pounds,drama
Eastern Promises,"action, crime, drama"
Stardust,"adventure, family, fantasy"
The Secret of Kells,"animation, adventure, family"
Inside Man,"crime, drama, Mystery"
Gone Baby Gone,"crime, drama, Mystery"
La Vie En Rose,"biography, drama, music"
Huo Yuan Jia,"action, biography, drama"
The Illusionist,"drama, fantasy, Mystery"
Dead Man's Shoes,"crime, drama, thriller"
Harry Potter and the Half-Blood Prince,"action, adventure, family"
300,"action, drama"
Match Point,"drama, romance, thriller"
Watchmen,"action, drama, Mystery"
Lord of war,"action, crime, drama"
Saw,"horror, Mystery, thriller"
"Synecdoche, New York",drama
Mysterious Skin,drama
Jeux d'enfants,"comedy, drama, romance"
Un long dimanche de fianÃ§ailles,"drama, Mystery, romance"
The Station Agent,"comedy, drama"
21 Grams,"crime, drama, thriller"
Boksuneun naui geot,"crime, drama, thriller"
Finding Neverland,"biography, drama, family"
25th Hour,drama
The Butterfly Effect,"drama, sci-fi, thriller"
28 Days Later...,"drama, horror, sci-fi"
Batoru rowaiaru,"action, adventure, drama"
The Royal Tenenbaums,"comedy, drama"
Y tu mamÃ¡ tambiÃ©n,drama
Harry Potter and the Sorcerer's Stone,"adventure, family, fantasy"
The Others,"horror, Mystery, thriller"
Blow,"biography, crime, drama"
Enemy at the Gates,"drama, history, war"
Minority Report,"action, crime, Mystery"
The Hurricane,"biography, drama, Sport"
American Psycho,"comedy, crime, drama"
Lola rennt,"crime, drama, thriller"
The Thin Red Line,"drama, war"
Mulan,"animation, adventure, family"
Fear and Loathing in Las Vegas,"adventure, comedy, drama"
Funny Games,"crime, drama, thriller"
Dark City,"Mystery, sci-fi, thriller"
Sleepers,"crime, drama, thriller"
Lost Highway,"Mystery, thriller"
Sense and Sensibility,"drama, romance"
Die Hard: With a Vengeance,"action, adventure, thriller"
Dead Man,"adventure, drama, fantasy"
The Bridges of Madison County,"drama, romance"
Apollo 13,"adventure, drama, history"
Trois couleurs: Blanc,"comedy, drama, romance"
Falling Down,"action, crime, drama"
Dazed and Confused,comedy
My Cousin Vinny,"comedy, crime"
Omohide poro poro,"animation, drama, romance"
Delicatessen,"comedy, crime"
Home Alone,"comedy, family"
The Godfather: Part III,"crime, drama"
When Harry Met Sally...,"comedy, drama, romance"
The Little Mermaid,"animation, family, fantasy"
The Naked Gun: From the Files of Police Squad!,"comedy, crime"
"Planes, Trains & Automobiles","comedy, drama"
Lethal Weapon,"action, crime, thriller"
Blood Simple,"crime, drama, thriller"
On Golden Pond,drama
Mad Max 2,"action, adventure, sci-fi"
The warriors,"action, crime, thriller"
The Muppet Movie,"adventure, comedy, family"
Escape from Alcatraz,"action, biography, crime"
Watership Down,"animation, adventure, drama"
Midnight Express,"biography, crime, drama"
Close Encounters of the Third Kind,"drama, sci-fi"
The Long Goodbye,"comedy, crime, drama"
GiÃ¹ la testa,"drama, war, western"
Kelly's Heroes,"adventure, comedy, war"
The Jungle Book,"animation, adventure, family"
Blowup,"drama, Mystery, thriller"
A Hard Day's Night,"comedy, music, musical"
Breakfast at Tiffany's,"comedy, drama, romance"
Giant,"drama, western"
From Here to Eternity,"drama, romance, war"
Lifeboat,"drama, war"
The 39 Steps,"crime, Mystery, thriller"
